Product_ID,Product_Name,Category,Base_Price,Demand_Elasticity,Seasonal_Factor,Competitor_Price,Inventory_Level,Customer_Rating,Green_Certification
P0053,Recycled Paper Planner,Stationery,77.4,-0.75,1.29,114.94,549,3.7,0
P0054,Recycled Paper Planner,Electronics,38.35,-1.4,1.32,67.8,451,5,0
P0055,Solar-Powered Lantern,Personal Care,39.82,-0.72,1.18,101.08,809,4,1
P0056,Solar-Powered Lantern,Household,40.61,-0.96,1.06,80.97,102,3.2,0
P0057,Bamboo Toothbrush,Household,13.29,-1.33,1.49,37.9,309,4,1
P0058,Reusable Water Bottle,Stationery,54.63,-1.3,1,8.92,354,3.9,1
P0059,Recycled Paper Planner,Clothing,89.51,-1.09,1.21,83.67,979,3.5,0
P0060,Eco-Friendly Notebook,Household,8.72,-0.76,1.06,22.36,778,4.5,1
P0061,Reusable Water Bottle,Electronics,42.63,-0.81,1.04,117.99,147,3.3,1
P0062,Solar Charger,Household,60.48,-1.02,1.21,33.44,613,3.8,0
P0063,Reusable Water Bottle,Clothing,32.66,-0.91,1.14,35.6,438,3.3,0
P0064,Organic Wool Socks,Household,26.5,-0.93,1.12,54.39,396,4.9,0
P0065,Eco-Friendly Notebook,Stationery,56.62,-1.38,0.9,95.84,968,3.7,1
P0066,Biodegradable Phone Case,Clothing,23.66,-0.68,1.45,93.89,90,4.6,0
P0067,Biodegradable Phone Case,Clothing,14.16,-1.03,1.09,33.15,422,4.5,0
P0068,Solar-Powered Lantern,Clothing,64.19,-0.84,0.9,35.14,240,3.6,1
P0069,Solar Charger,Personal Care,19.98,-0.68,0.87,59.93,966,3,1
P0070,Biodegradable Phone Case,Stationery,88.19,-0.71,0.88,62.42,809,4.9,0
P0071,Solar-Powered Lantern,Household,66.31,-1.17,1.06,81.42,203,3.5,0
P0072,Bamboo Toothbrush,Stationery,39.95,-0.86,1.41,33.09,769,4.9,1
P0073,Bamboo Toothbrush,Clothing,23.08,-1.12,0.9,52.61,486,4.2,0
P0074,Bamboo Toothbrush,Clothing,91.45,-0.61,1.37,38.81,367,4.4,0
P0075,Solar-Powered Lantern,Personal Care,47.57,-1.04,0.85,104.75,479,4.2,0
P0076,Recycled Paper Planner,Electronics,88.34,-0.6,1.28,5.45,606,3.4,1
P0077,Bamboo Toothbrush,Electronics,27.11,-1.37,0.98,111.81,506,3.1,0
P0078,Organic Cotton T-Shirt,Clothing,89.63,-0.53,1.14,95.03,176,3.7,1
P0079,Solar-Powered Lantern,Household,81.42,-1.19,1.28,52.24,101,4.4,0
P0080,Solar-Powered Lantern,Personal Care,71.36,-1.44,0.97,86.16,208,4.2,1
P0081,Reusable Water Bottle,Household,40.53,-0.77,1.37,90.95,140,3.4,1
P0082,Compostable Trash Bags,Stationery,91.76,-0.97,1.13,22.12,135,4.2,0
P0083,Compostable Trash Bags,Household,54.78,-0.51,0.89,115.11,538,4.3,1
P0084,Bamboo Toothbrush,Electronics,64.27,-0.8,0.87,71.7,79,3.8,0
P0085,Organic Wool Socks,Household,52.86,-0.59,1.36,39.45,532,3.9,1
P0086,Compostable Trash Bags,Household,41.14,-1.34,0.84,111.67,693,3.5,1
P0087,Reusable Water Bottle,Stationery,34.32,-0.5,1.39,92.03,822,4.9,0
P0088,Reusable Water Bottle,Household,18.35,-1.15,0.83,52.29,262,3.5,1
P0089,Organic Cotton T-Shirt,Household,68.59,-1.21,1.22,13.28,991,3,0
P0090,Solar-Powered Lantern,Electronics,83.27,-1.2,1.14,103.35,847,3.8,0
P0091,Eco-Friendly Notebook,Personal Care,61.04,-0.58,1.15,44.28,783,3.9,1
P0092,Solar-Powered Lantern,Personal Care,33.53,-1.41,1.06,80.81,952,4.4,1
P0093,Solar-Powered Lantern,Stationery,69.65,-0.59,1.49,56.54,879,3.6,0
P0094,Bamboo Toothbrush,Stationery,25.79,-0.6,1.38,104.81,351,4.4,1
P0095,Solar-Powered Lantern,Personal Care,74.84,-0.74,1.45,53.35,330,3.3,1
P0096,Compostable Trash Bags,Household,54.6,-1.32,0.81,42.03,290,3.6,0
P0097,Solar Charger,Household,43.82,-1.16,1.33,25.53,258,4.5,1
P0098,Solar Charger,Clothing,47.97,-0.64,1.05,82.09,618,4.9,1
P0099,Compostable Trash Bags,Household,89.58,-1.13,0.84,32.74,308,4.3,0
P0100,Bamboo Toothbrush,Clothing,94.63,-1.47,0.82,12.97,596,4.9,1
P0101,Bamboo Toothbrush,Personal Care,81.32,-1.28,0.84,74.27,306,3.5,1
P0102,Reusable Water Bottle,Personal Care,99.67,-0.99,1.14,112.33,799,3.2,1
P0103,Organic Wool Socks,Electronics,88.86,-0.56,1.17,86.74,545,4.2,0
P0104,Solar-Powered Lantern,Stationery,21.72,-0.77,1.15,92.06,747,4.7,0
P0105,Solar-Powered Lantern,Personal Care,16.17,-1.36,1.46,112.9,796,4.6,1
P0106,Solar-Powered Lantern,Personal Care,59.12,-0.55,1.12,49.08,398,3.5,1
P0107,Reusable Water Bottle,Electronics,67.74,-0.55,1.35,17.76,539,3.8,0
P0108,Biodegradable Phone Case,Electronics,47.95,-1.36,0.9,55.8,195,4,0
P0109,Reusable Water Bottle,Electronics,94.3,-0.52,0.9,109.62,226,3.2,0
P0110,Organic Cotton T-Shirt,Personal Care,18.26,-1.25,0.93,70.21,400,4.1,0
P0111,Compostable Trash Bags,Electronics,81.42,-0.58,1.16,38.59,245,4.4,0
P0112,Solar-Powered Lantern,Personal Care,54.36,-0.8,0.86,91.1,665,4.4,0
P0113,Organic Cotton T-Shirt,Personal Care,9.77,-0.76,1.38,21.23,395,4.8,1
P0114,Compostable Trash Bags,Electronics,29.37,-1.33,0.92,56.18,879,4.8,1
P0115,Solar-Powered Lantern,Stationery,95.58,-1.31,0.83,38.16,843,3.4,0
P0116,Reusable Water Bottle,Electronics,52.92,-1.25,1.04,43.03,598,3.5,0
P0117,Solar Charger,Electronics,67.8,-0.87,1.39,13.06,417,4.8,1
P0118,Organic Cotton T-Shirt,Personal Care,85.29,-1.28,1.24,106.37,297,4.4,0
P0119,Recycled Paper Planner,Personal Care,54.87,-1.46,1.36,109.09,219,4.8,0
P0120,Bamboo Toothbrush,Stationery,61.26,-0.57,0.92,26.8,224,4.7,0
P0121,Organic Cotton T-Shirt,Stationery,50.49,-1.01,0.86,14.42,663,4.1,0
P0122,Biodegradable Phone Case,Household,48.22,-0.54,1.12,85.9,330,3.6,1
P0123,Recycled Paper Planner,Stationery,82.11,-0.94,1.12,45.28,613,4.8,1
P0124,Compostable Trash Bags,Stationery,76.38,-1.08,1.21,65.49,55,3.5,0
P0125,Eco-Friendly Notebook,Stationery,69.76,-0.89,0.96,88.38,853,4.5,0
P0126,Organic Cotton T-Shirt,Electronics,27.6,-1.31,1.09,55.4,124,4.9,1
P0127,Biodegradable Phone Case,Stationery,70.87,-1.37,1.41,53.58,373,4.1,0
P0128,Reusable Water Bottle,Clothing,42.25,-0.82,1.24,5.77,797,3.7,0
P0129,Recycled Paper Planner,Stationery,36.81,-1.07,1.27,114.21,325,4.5,1
P0130,Solar-Powered Lantern,Household,47.22,-1.43,1.34,98.26,123,4.1,1
P0131,Eco-Friendly Notebook,Stationery,39.31,-0.7,1.49,60.15,898,4.5,0
P0132,Recycled Paper Planner,Electronics,55.12,-1.46,0.83,96.25,270,4,0
P0133,Eco-Friendly Notebook,Personal Care,80.98,-0.74,1.29,51.08,454,3.3,0
P0134,Solar-Powered Lantern,Personal Care,77.33,-0.52,1.44,48.23,167,3.8,0
P0135,Eco-Friendly Notebook,Electronics,97.67,-0.71,1.4,78.49,924,4.5,1
P0136,Biodegradable Phone Case,Electronics,61.67,-0.75,1.01,45.38,779,4.6,1
P0137,Solar-Powered Lantern,Household,53.92,-0.66,1.02,98.9,750,3.3,0
P0138,Organic Wool Socks,Personal Care,54.76,-1.02,1.22,47.59,337,3.2,0
P0139,Bamboo Toothbrush,Clothing,80.42,-0.83,1.24,76.34,909,3.3,0
P0140,Eco-Friendly Notebook,Electronics,66.7,-1.19,1.23,56.24,766,3.6,1
P0141,Reusable Water Bottle,Clothing,87.72,-0.65,1.17,84.47,522,4.3,0
P0142,Bamboo Toothbrush,Clothing,44.6,-1.22,0.81,89.79,599,4.6,0
P0143,Solar-Powered Lantern,Electronics,59.81,-1.32,0.86,115,679,3.3,1
P0144,Organic Wool Socks,Personal Care,20.7,-1.03,1.07,10.75,330,4.4,1
P0145,Eco-Friendly Notebook,Household,37.91,-0.87,1.08,76.44,54,3.5,0
P0146,Solar-Powered Lantern,Household,18.99,-0.56,1.39,19.3,993,3.6,0
P0147,Recycled Paper Planner,Personal Care,77.27,-1.24,1.05,50.63,826,4.5,0
P0148,Eco-Friendly Notebook,Stationery,45.2,-1.33,1.33,19.21,714,3.7,1
P0149,Reusable Water Bottle,Stationery,73.69,-0.86,1.41,93.65,141,3.5,0
P0150,Recycled Paper Planner,Stationery,8.05,-0.81,1.05,44.11,313,3.4,0
P0151,Reusable Water Bottle,Household,25.93,-0.98,1.34,78.19,613,3.8,1
P0152,Organic Wool Socks,Stationery,25.11,-0.59,1.27,19.72,302,3.9,1
P0153,Organic Wool Socks,Household,53.33,-1.33,1.4,58.28,197,3,0
P0154,Bamboo Toothbrush,Clothing,20.35,-1.06,0.92,43,812,3.3,1
P0155,Bamboo Toothbrush,Electronics,85.97,-1.21,1.33,55.91,676,4.5,1
P0156,Bamboo Toothbrush,Stationery,81.76,-1.29,1.01,22.05,159,4.3,1
P0157,Eco-Friendly Notebook,Household,72.47,-0.71,1.15,90.35,880,3.4,0
P0158,Solar Charger,Stationery,15.25,-0.69,0.84,33.12,452,4.7,1
P0159,Solar Charger,Electronics,45.62,-0.58,1.48,12.49,278,4.7,0
P0160,Solar-Powered Lantern,Stationery,75.56,-0.64,1.05,58.39,808,3.5,0
P0161,Bamboo Toothbrush,Personal Care,84.08,-0.63,1.19,31.07,245,4.4,0
P0162,Organic Cotton T-Shirt,Personal Care,49.58,-1.21,1.08,8.49,549,3.9,0
P0163,Eco-Friendly Notebook,Stationery,68.32,-0.81,1.31,13.93,675,3.2,0
P0164,Organic Cotton T-Shirt,Electronics,7.51,-1.36,1.37,52.21,665,3.9,0
P0165,Organic Cotton T-Shirt,Stationery,66.93,-0.81,1.28,114.58,200,3.7,1
P0166,Organic Cotton T-Shirt,Household,30.89,-0.76,0.85,8.48,152,4.8,1
P0167,Reusable Water Bottle,Electronics,69.68,-0.76,0.82,35.2,983,4.8,1
P0168,Biodegradable Phone Case,Household,57.63,-0.56,0.95,30.64,83,3.5,1
P0169,Bamboo Toothbrush,Stationery,81.04,-0.83,1.5,82.93,302,3.1,0
P0170,Eco-Friendly Notebook,Electronics,12.52,-0.86,0.81,11.92,620,4.7,1
P0171,Recycled Paper Planner,Household,88.1,-1.01,0.91,47.12,645,3.7,0
P0172,Biodegradable Phone Case,Electronics,12.46,-0.92,0.98,84.25,435,4.3,0
P0173,Solar Charger,Electronics,61.95,-0.67,1.06,82.87,896,3.4,1
P0174,Eco-Friendly Notebook,Clothing,82.74,-1.45,1.23,60.98,696,3.4,1
P0175,Organic Cotton T-Shirt,Personal Care,8.87,-1.37,1.27,105.56,282,4.8,1
P0176,Reusable Water Bottle,Household,9.7,-0.95,1.02,103.04,512,4.7,1
P0177,Solar-Powered Lantern,Electronics,33.19,-0.79,1.29,46.77,210,4,1
P0178,Reusable Water Bottle,Clothing,73.6,-1.05,1.15,70.67,544,3.7,0
P0179,Solar Charger,Electronics,98.25,-0.97,1.2,105.67,146,3.2,0
P0180,Eco-Friendly Notebook,Electronics,44.03,-1.13,1.47,10.03,861,3,0
P0181,Solar-Powered Lantern,Household,6.8,-0.73,0.93,39.5,497,3,0
P0182,Biodegradable Phone Case,Household,55.58,-1.25,1.26,7.04,962,4.3,1
P0183,Organic Cotton T-Shirt,Personal Care,45.19,-1.38,1.26,90.92,545,3.8,1
P0184,Solar Charger,Electronics,30.88,-1.49,1.24,113.2,607,3.1,1
P0185,Organic Wool Socks,Stationery,67.21,-0.92,1.12,87.39,536,3.4,0
P0186,Bamboo Toothbrush,Stationery,93.23,-1.09,0.95,102.63,252,4,0
P0187,Bamboo Toothbrush,Electronics,36.21,-0.71,1.24,53.45,356,4.2,0
P0188,Biodegradable Phone Case,Household,86.15,-0.52,1.3,49.27,705,3.1,1
P0189,Recycled Paper Planner,Stationery,44.66,-0.96,1.48,77.51,423,3.2,0
P0190,Eco-Friendly Notebook,Electronics,22.24,-1.16,0.91,6.21,296,3,0
P0191,Compostable Trash Bags,Clothing,16.62,-0.75,0.97,113.9,596,3.1,1
P0192,Compostable Trash Bags,Stationery,29.66,-1.39,1.05,47.4,810,4.9,1
P0193,Organic Cotton T-Shirt,Electronics,32.71,-0.98,0.9,74.86,902,4,0
P0194,Solar Charger,Clothing,10.22,-0.67,1.3,35.52,661,4.7,0
P0195,Eco-Friendly Notebook,Clothing,90.21,-0.79,0.92,40.1,327,3,0
P0196,Bamboo Toothbrush,Clothing,41.26,-0.75,1.13,27.71,816,4.8,0
P0197,Biodegradable Phone Case,Electronics,40.11,-0.99,0.95,59.11,453,3.8,0
P0198,Organic Wool Socks,Stationery,30.74,-0.88,1.36,91.16,483,3.3,1
P0199,Reusable Water Bottle,Electronics,69.23,-1.17,1.04,100.07,339,3.3,0
P0200,Recycled Paper Planner,Electronics,33.64,-1.39,1.15,32.2,833,4.3,0
P0201,Organic Cotton T-Shirt,Stationery,60.61,-0.88,1.09,118.14,738,3.1,1
P0202,Biodegradable Phone Case,Household,77.84,-1.43,1.22,103.79,955,4.3,0
P0203,Organic Wool Socks,Household,92.11,-1.08,0.83,101.95,946,3.4,0
P0204,Solar Charger,Household,14.42,-0.96,1.4,118.08,854,3.2,0
P0205,Organic Wool Socks,Electronics,5.23,-0.66,1.1,11.06,686,4.1,0
P0206,Eco-Friendly Notebook,Household,13.67,-0.71,1.33,11.51,767,4.1,1
P0207,Eco-Friendly Notebook,Clothing,21.27,-1.37,1.01,13.2,909,3.9,0
P0208,Organic Cotton T-Shirt,Personal Care,76.5,-1.36,1.31,99.3,397,4.5,0
P0209,Organic Cotton T-Shirt,Clothing,13.58,-1.11,1.03,9.48,434,3.8,0
P0210,Biodegradable Phone Case,Clothing,31.05,-1.46,0.87,74.15,155,3.6,0
P0211,Biodegradable Phone Case,Clothing,51.09,-0.52,1.36,77.78,892,3.5,0
P0212,Bamboo Toothbrush,Clothing,52.73,-1.08,1.18,77,764,3.4,1
P0213,Reusable Water Bottle,Household,93.19,-0.61,0.99,54.94,659,4,1
P0214,Biodegradable Phone Case,Clothing,23.27,-1.31,1.14,11.75,196,4.9,1
P0215,Solar-Powered Lantern,Clothing,88.32,-1.48,1.3,68.24,76,3.5,1
P0216,Reusable Water Bottle,Electronics,97.07,-0.67,0.96,10.49,333,3.3,0
P0217,Reusable Water Bottle,Personal Care,50.92,-0.69,1.24,63.21,115,4.6,0
P0218,Reusable Water Bottle,Clothing,57.64,-1.24,1.16,12.69,328,3.1,1
P0219,Reusable Water Bottle,Electronics,32.43,-1.42,0.92,24.16,757,3.9,0
P0220,Organic Wool Socks,Electronics,79.93,-1.14,1.21,64.56,476,4.2,1
P0221,Biodegradable Phone Case,Electronics,69.77,-1.39,1.1,74.16,374,4.5,0
P0222,Organic Cotton T-Shirt,Household,83.2,-0.83,1.42,102.78,322,3.6,1
P0223,Bamboo Toothbrush,Electronics,98.01,-0.61,1.37,20.86,153,3.3,1
P0224,Reusable Water Bottle,Stationery,5.45,-1.03,0.82,102.73,54,3,0
P0225,Organic Cotton T-Shirt,Household,44.26,-0.94,1.46,10.3,836,3.2,1
P0226,Compostable Trash Bags,Personal Care,9.04,-1.21,0.9,24.48,607,4.3,1
P0227,Recycled Paper Planner,Stationery,34.21,-1.16,0.88,88.85,788,4.4,0
P0228,Organic Cotton T-Shirt,Electronics,58.27,-0.6,1.4,23.22,290,3.6,0
P0229,Solar Charger,Electronics,43.64,-1.04,1.04,60.2,324,3.5,1
P0230,Eco-Friendly Notebook,Clothing,43.48,-1.39,0.88,27.77,632,3.8,0
P0231,Compostable Trash Bags,Stationery,93.74,-1.04,1.46,53.51,372,4.4,1
P0232,Eco-Friendly Notebook,Personal Care,80.74,-0.71,0.89,96.49,859,3.8,0
P0233,Eco-Friendly Notebook,Electronics,8.58,-0.9,1.02,8.72,693,4.1,1
P0234,Biodegradable Phone Case,Clothing,56.16,-0.79,0.84,26.25,901,3.8,0
P0235,Organic Cotton T-Shirt,Personal Care,67.71,-1.09,1.16,103.84,965,4.5,1
P0236,Organic Cotton T-Shirt,Personal Care,47.16,-0.88,1.44,84.66,311,3.3,1
P0237,Organic Cotton T-Shirt,Stationery,10.94,-1.46,1.12,73.9,804,3.8,1
P0238,Eco-Friendly Notebook,Clothing,75.34,-0.77,0.89,67.92,576,5,0
P0239,Eco-Friendly Notebook,Household,51.71,-1.38,1.34,109.74,378,3.4,0
P0240,Eco-Friendly Notebook,Personal Care,71.83,-1.47,1.02,99.61,561,4.6,0
P0241,Solar Charger,Electronics,91.93,-1.07,0.99,34.31,283,4,0
P0242,Solar Charger,Personal Care,53.3,-0.56,1.26,34.88,719,4.1,0
P0243,Organic Cotton T-Shirt,Stationery,38.14,-1.29,0.83,77.15,379,4.8,1
P0244,Reusable Water Bottle,Stationery,84.62,-0.82,1.39,98.71,275,4.3,1
P0245,Biodegradable Phone Case,Personal Care,74.54,-1.34,1.06,114.52,943,3.2,0
P0246,Organic Cotton T-Shirt,Electronics,7.93,-0.99,1.42,45.68,867,3.6,0
P0247,Reusable Water Bottle,Household,19.85,-1.14,1.07,95.93,183,4,1
P0248,Solar-Powered Lantern,Stationery,38.08,-0.82,1.41,77.87,962,4.7,0
P0249,Compostable Trash Bags,Personal Care,60.21,-1.29,0.81,19.37,380,4.6,1
P0250,Solar Charger,Personal Care,15.34,-0.54,1.41,17.14,435,3.3,0
P0251,Solar-Powered Lantern,Stationery,11.94,-1.3,1.47,87.17,256,4.1,1
P0252,Bamboo Toothbrush,Household,69.67,-0.98,0.88,15.49,223,4.3,0
P0253,Recycled Paper Planner,Electronics,20.58,-0.98,1.47,88.13,282,3.9,0
P0254,Organic Cotton T-Shirt,Electronics,60.88,-1.26,1.11,101.73,841,3.6,1
P0255,Solar Charger,Household,76.51,-0.72,1.04,85.65,655,3.6,0
P0256,Organic Cotton T-Shirt,Stationery,97.13,-0.98,1.22,102.76,842,4.4,1
P0257,Solar Charger,Household,12.05,-0.5,0.84,113.07,155,3.4,0
P0258,Organic Cotton T-Shirt,Household,84.86,-1.45,1.44,111.47,213,3.4,0
P0259,Eco-Friendly Notebook,Personal Care,97.17,-1.3,0.86,11.41,876,4.8,1
P0260,Eco-Friendly Notebook,Household,67.4,-1.08,1.01,41.33,81,4,1
P0261,Reusable Water Bottle,Personal Care,64.92,-0.83,1.45,35.56,327,4.2,1
P0262,Biodegradable Phone Case,Stationery,84.37,-1.22,1.08,19,326,4.6,1
P0263,Eco-Friendly Notebook,Clothing,48.76,-0.99,0.9,36.91,225,4.2,1
P0264,Recycled Paper Planner,Electronics,39.96,-1.28,1.11,86.01,120,4.5,1
P0265,Organic Cotton T-Shirt,Clothing,7.46,-1.21,1.47,37.81,829,4.2,0
P0266,Organic Wool Socks,Household,62.02,-0.93,1,45.57,989,3.9,0
P0267,Eco-Friendly Notebook,Personal Care,12.24,-1.47,0.85,58.31,699,3.1,1
P0268,Solar-Powered Lantern,Stationery,43.59,-1.24,1.32,43.67,425,4.1,0
P0269,Solar Charger,Household,49.51,-0.73,1.42,29.51,590,3.5,1
P0270,Bamboo Toothbrush,Personal Care,62.02,-1.16,1.5,5.44,400,3.9,0
P0271,Organic Wool Socks,Stationery,38.15,-0.79,1.03,76.38,357,4.6,1
P0272,Recycled Paper Planner,Personal Care,5.78,-1.41,1.27,82.55,184,3.8,0
P0273,Reusable Water Bottle,Stationery,76.85,-1.01,1.01,21.8,939,4.6,1
P0274,Reusable Water Bottle,Personal Care,84.48,-1.09,1.16,78.21,59,4.7,1
P0275,Solar Charger,Clothing,80.97,-0.64,1.09,116.77,874,3.6,1
P0276,Eco-Friendly Notebook,Clothing,16.85,-0.67,0.88,22.46,449,3.1,1
P0277,Bamboo Toothbrush,Household,25.6,-1.38,1.22,11.34,160,4.8,0
P0278,Organic Wool Socks,Household,38.17,-1.43,0.95,99.13,560,4.4,1
P0279,Bamboo Toothbrush,Personal Care,29.22,-0.81,1.11,22.94,726,3.5,1
P0280,Recycled Paper Planner,Electronics,94.24,-0.54,1,105.9,213,3.9,1
P0281,Biodegradable Phone Case,Clothing,20.47,-1.28,1.29,95.21,411,3,0
P0282,Recycled Paper Planner,Clothing,10.71,-0.54,1.43,48.07,471,3.7,1
P0283,Organic Cotton T-Shirt,Personal Care,73.33,-0.61,1.43,54.75,129,4.5,1
P0284,Biodegradable Phone Case,Stationery,88.96,-0.54,1.13,63.74,516,4.8,0
P0285,Compostable Trash Bags,Personal Care,46.46,-1.29,0.96,69.92,308,3.4,1
P0286,Eco-Friendly Notebook,Stationery,50.77,-1.37,1.09,46.55,128,4.7,1
P0287,Solar Charger,Electronics,81.18,-0.63,0.85,25.24,272,5,0
P0288,Compostable Trash Bags,Stationery,96.36,-1.41,1,46.17,444,4.9,0
P0289,Solar Charger,Electronics,95.59,-0.81,1.37,118.95,963,3.8,1
P0290,Organic Wool Socks,Personal Care,13.36,-0.83,0.91,41.24,547,4.3,0
P0291,Eco-Friendly Notebook,Electronics,48.87,-1.12,1.4,9.61,355,3.4,0
P0292,Solar-Powered Lantern,Personal Care,36.63,-1.38,1.44,54.45,870,3.1,0
P0293,Eco-Friendly Notebook,Stationery,98.19,-1.2,0.98,110.7,639,3.4,1
P0294,Eco-Friendly Notebook,Stationery,6.24,-0.51,1.17,63.65,218,3.6,0
P0295,Biodegradable Phone Case,Personal Care,50.97,-0.73,0.97,112.91,630,3.8,1
P0296,Solar Charger,Electronics,15.13,-1.39,1.14,92.32,413,3.7,0
P0297,Solar Charger,Household,76.31,-1.27,1.19,6.59,378,3.3,0
P0298,Organic Wool Socks,Clothing,27.44,-1.26,1.19,66.93,668,3.1,1
P0299,Organic Cotton T-Shirt,Stationery,55.36,-0.69,0.81,17.54,440,4.7,1
P0300,Reusable Water Bottle,Electronics,84.05,-0.76,1.47,114.86,819,3.5,1
P0301,Organic Wool Socks,Electronics,49.35,-1.05,1.37,80.02,709,3.8,1
P0302,Solar Charger,Electronics,74.59,-0.63,1.46,95.42,192,4,1
P0303,Reusable Water Bottle,Household,39,-0.83,0.91,91.19,854,3.8,0
P0304,Compostable Trash Bags,Electronics,80.26,-1.25,1.13,81.77,785,3.9,0
P0305,Biodegradable Phone Case,Clothing,89.96,-0.6,1.16,50.29,653,3.7,1
P0306,Bamboo Toothbrush,Household,64.92,-1.45,1.21,113.64,971,3.1,1
P0307,Recycled Paper Planner,Personal Care,52.27,-0.61,1.37,89.75,330,3.2,1
P0308,Solar Charger,Electronics,81.37,-0.65,0.82,75.56,198,4.4,0
