Product_ID,Product_Name,Category,Base_Price,Demand_Elasticity,Seasonal_Factor,Competitor_Price,Inventory_Level,Customer_Rating,Green_Certification,Profit_Margin,Inventory_Risk,Adjusted_Elasticity,Competitor_Price_Difference,Green_Certification_Label
P0047,Organic Wool Socks,Household,61.54,-0.68,1.25,56.26,450,4.8,1,-0.09384998222538218,5.849853753656159,-3.2640000000000002,-5.280000000000001,Certified
P0049,Bamboo Toothbrush,Household,35.33,-0.75,0.91,20.41,772,3.2,0,-0.731014208721215,24.012217615387726,-2.4000000000000004,-14.919999999999998,Non-Certified
P0050,Organic Cotton T-Shirt,Clothing,26.59,-1.23,1.19,74.7,169,3.9,1,0.6440428380187416,5.340985585659612,-4.797,48.11,Certified
P0051,Organic Wool Socks,Electronics,90.05,-1.33,1.03,72.82,654,4.5,0,-0.23661082120296628,7.051098904060852,-5.985,-17.230000000000004,Non-Certified
P0053,Recycled Paper Planner,Stationery,77.4,-0.75,1.29,114.94,549,3.7,0,0.32660518531407684,5.498467640165855,-2.7750000000000004,37.53999999999999,Non-Certified
P0054,Recycled Paper Planner,Electronics,38.35,-1.4,1.32,67.8,451,5.0,0,0.4343657817109144,8.909169926119077,-7.0,29.449999999999996,Non-Certified
P0055,Solar-Powered Lantern,Personal Care,39.82,-0.72,1.18,101.08,809,4.0,1,0.6060546102097348,17.217308396257735,-2.88,61.26,Certified
P0056,Solar-Powered Lantern,Household,40.61,-0.96,1.06,80.97,102,3.2,0,0.4984562183524762,2.369525119289328,-3.072,40.36,Non-Certified
P0057,Bamboo Toothbrush,Household,13.29,-1.33,1.49,37.9,309,4.0,1,0.6493403693931399,15.604405593346161,-5.32,24.61,Certified
P0059,Recycled Paper Planner,Clothing,89.51,-1.09,1.21,83.67,979,3.5,0,-0.06979801601529824,9.039111932643381,-3.8150000000000004,-5.840000000000003,Non-Certified
P0061,Reusable Water Bottle,Electronics,42.63,-0.81,1.04,117.99,147,3.3,1,0.6386981947622679,3.3156498673740047,-2.673,75.35999999999999,Certified
P0062,Solar Charger,Household,60.48,-1.02,1.21,33.44,613,3.8,0,-0.8086124401913876,8.37651405833224,-3.876,-27.04,Non-Certified
P0063,Reusable Water Bottle,Clothing,32.66,-0.91,1.14,35.6,438,3.3,0,0.08258426966292148,11.763947529571022,-3.003,2.940000000000005,Non-Certified
P0064,Organic Wool Socks,Household,26.5,-0.93,1.12,54.39,396,4.9,0,0.5127780842066556,13.34231805929919,-4.557,27.89,Non-Certified
P0065,Eco-Friendly Notebook,Stationery,56.62,-1.38,0.9,95.84,968,3.7,1,0.40922370617696163,18.99603595117548,-5.106,39.220000000000006,Certified
P0066,Biodegradable Phone Case,Clothing,23.66,-0.68,1.45,93.89,90,4.6,0,0.7480029822132283,2.6233713236365754,-3.128,70.23,Non-Certified
P0067,Biodegradable Phone Case,Clothing,14.16,-1.03,1.09,33.15,422,4.5,0,0.5728506787330316,27.34152283211527,-4.635,18.99,Non-Certified
P0068,Solar-Powered Lantern,Clothing,64.19,-0.84,0.9,35.14,240,3.6,1,-0.8266932270916334,4.154333489120839,-3.024,-29.049999999999997,Certified
P0070,Biodegradable Phone Case,Stationery,88.19,-0.71,0.88,62.42,809,4.9,0,-0.4128484460108939,10.424290529744663,-3.479,-25.769999999999996,Non-Certified
P0071,Solar-Powered Lantern,Household,66.31,-1.17,1.06,81.42,203,3.5,0,0.18558093834438713,2.8880928059457722,-4.095,15.11,Non-Certified
P0072,Bamboo Toothbrush,Stationery,39.95,-0.86,1.41,33.09,769,4.9,1,-0.20731338773043212,13.651816543729307,-4.214,-6.859999999999999,Certified
P0073,Bamboo Toothbrush,Clothing,23.08,-1.12,0.9,52.61,486,4.2,0,0.5613001330545524,23.396880415944544,-4.704000000000001,29.53,Non-Certified
P0074,Bamboo Toothbrush,Clothing,91.45,-0.61,1.37,38.81,367,4.4,0,-1.356351455810358,2.92928607631309,-2.684,-52.64,Non-Certified
P0075,Solar-Powered Lantern,Personal Care,47.57,-1.04,0.85,104.75,479,4.2,0,0.545871121718377,11.8463193559955,-4.368,57.18,Non-Certified
P0077,Bamboo Toothbrush,Electronics,27.11,-1.37,0.98,111.81,506,3.1,0,0.7575351041946159,19.045611605025634,-4.247000000000001,84.7,Non-Certified
P0078,Organic Cotton T-Shirt,Clothing,89.63,-0.53,1.14,95.03,176,3.7,1,0.05682416079132911,1.7224809205877576,-1.9610000000000003,5.400000000000006,Certified
P0079,Solar-Powered Lantern,Household,81.42,-1.19,1.28,52.24,101,4.4,0,-0.5585758039816232,0.9691261360845,-5.236,-29.18,Non-Certified
P0080,Solar-Powered Lantern,Personal Care,71.36,-1.44,0.97,86.16,208,4.2,1,0.17177344475394613,3.004946604410337,-6.048,14.799999999999997,Certified
P0081,Reusable Water Bottle,Household,40.53,-0.77,1.37,90.95,140,3.4,1,0.5543705332600329,2.521336812778135,-2.618,50.42,Certified
P0083,Compostable Trash Bags,Household,54.78,-0.51,0.89,115.11,538,4.3,1,0.524107375553818,11.034946732794301,-2.193,60.33,Certified
P0084,Bamboo Toothbrush,Electronics,64.27,-0.8,0.87,71.7,79,3.8,0,0.10362622036262213,1.412861330343075,-3.04,7.430000000000007,Non-Certified
P0085,Organic Wool Socks,Household,52.86,-0.59,1.36,39.45,532,3.9,1,-0.33992395437262346,7.400235917295408,-2.3009999999999997,-13.409999999999997,Certified
P0086,Compostable Trash Bags,Household,41.14,-1.34,0.84,111.67,693,3.5,1,0.6315930867735291,20.053475935828878,-4.69,70.53,Certified
P0087,Reusable Water Bottle,Stationery,34.32,-0.5,1.39,92.03,822,4.9,0,0.6270781266978159,17.23097046838054,-2.45,57.71,Non-Certified
P0088,Reusable Water Bottle,Household,18.35,-1.15,0.83,52.29,262,3.5,1,0.6490724803977815,17.202324283510062,-4.0249999999999995,33.94,Certified
P0090,Solar-Powered Lantern,Electronics,83.27,-1.2,1.14,103.35,847,3.8,0,0.19429124334784711,8.922570627361006,-4.56,20.08,Non-Certified
P0091,Eco-Friendly Notebook,Personal Care,61.04,-0.58,1.15,44.28,783,3.9,1,-0.37850045167118335,11.154481736851103,-2.262,-16.759999999999998,Certified
P0092,Solar-Powered Lantern,Personal Care,33.53,-1.41,1.06,80.81,952,4.4,1,0.5850761044425195,26.785362587150903,-6.204,47.28,Certified
P0093,Solar-Powered Lantern,Stationery,69.65,-0.59,1.49,56.54,879,3.6,0,-0.23187124159886818,8.469962468141281,-2.124,-13.110000000000007,Non-Certified
P0094,Bamboo Toothbrush,Stationery,25.79,-0.6,1.38,104.81,351,4.4,1,0.7539356931590497,9.86226545509719,-2.64,79.02000000000001,Certified
P0095,Solar-Powered Lantern,Personal Care,74.84,-0.74,1.45,53.35,330,3.3,1,-0.40281162136832244,3.040970161632172,-2.4419999999999997,-21.490000000000002,Certified
P0096,Compostable Trash Bags,Household,54.6,-1.32,0.81,42.03,290,3.6,0,-0.2990720913633119,6.557228779451001,-4.752000000000001,-12.57,Non-Certified
P0097,Solar Charger,Household,43.82,-1.16,1.33,25.53,258,4.5,1,-0.7164120642381512,4.426859023414309,-5.22,-18.29,Certified
P0098,Solar Charger,Clothing,47.97,-0.64,1.05,82.09,618,4.9,1,0.41564136922889516,12.269573245183002,-3.136,34.120000000000005,Certified
P0099,Compostable Trash Bags,Household,89.58,-1.13,0.84,32.74,308,4.3,0,-1.7361026267562611,4.093175560020838,-4.858999999999999,-56.839999999999996,Non-Certified
P0101,Bamboo Toothbrush,Personal Care,81.32,-1.28,0.84,74.27,306,3.5,1,-0.09492392621516087,4.479657086641839,-4.48,-7.049999999999997,Certified
P0102,Reusable Water Bottle,Personal Care,99.67,-0.99,1.14,112.33,799,3.2,1,0.11270364105759811,7.031977455427473,-3.168,12.659999999999997,Certified
P0103,Organic Wool Socks,Electronics,88.86,-0.56,1.17,86.74,545,4.2,0,-0.0244408577357621,5.242088294080192,-2.3520000000000003,-2.1200000000000045,Non-Certified
P0104,Solar-Powered Lantern,Stationery,21.72,-0.77,1.15,92.06,747,4.7,0,0.7640669128829025,29.90631755945232,-3.619,70.34,Non-Certified
P0105,Solar-Powered Lantern,Personal Care,16.17,-1.36,1.46,112.9,796,4.6,1,0.8567759078830823,33.71709829635465,-6.256,96.73,Certified
P0106,Solar-Powered Lantern,Personal Care,59.12,-0.55,1.12,49.08,398,3.5,1,-0.2045639771801141,6.0107771119273155,-1.9250000000000003,-10.04,Certified
P0108,Biodegradable Phone Case,Electronics,47.95,-1.36,0.9,55.8,195,4.0,0,0.1406810035842293,4.518595759471672,-5.44,7.849999999999994,Non-Certified
P0109,Reusable Water Bottle,Electronics,94.3,-0.52,0.9,109.62,226,3.2,0,0.13975551906586395,2.662896194179333,-1.6640000000000001,15.320000000000007,Non-Certified
P0110,Organic Cotton T-Shirt,Personal Care,18.26,-1.25,0.93,70.21,400,4.1,0,0.7399230878792193,23.55462907347866,-5.125,51.94999999999999,Non-Certified
P0111,Compostable Trash Bags,Electronics,81.42,-0.58,1.16,38.59,245,4.4,0,-1.1098730240995076,2.5940419620698125,-2.552,-42.83,Non-Certified
P0112,Solar-Powered Lantern,Personal Care,54.36,-0.8,0.86,91.1,665,4.4,0,0.40329308452250273,14.224720639320978,-3.5200000000000005,36.739999999999995,Non-Certified
P0113,Organic Cotton T-Shirt,Personal Care,9.77,-0.76,1.38,21.23,395,4.8,1,0.539802166745172,29.297019862637775,-3.6479999999999997,11.46,Certified
P0114,Compostable Trash Bags,Electronics,29.37,-1.33,0.92,56.18,879,4.8,1,0.47721609113563546,32.530976595461205,-6.384,26.81,Certified
P0115,Solar-Powered Lantern,Stationery,95.58,-1.31,0.83,38.16,843,3.4,0,-1.5047169811320757,10.626309380648774,-4.454,-57.42,Non-Certified
P0116,Reusable Water Bottle,Electronics,52.92,-1.25,1.04,43.03,598,3.5,0,-0.22983964675807578,10.86545729402872,-4.375,-9.89,Non-Certified
P0118,Organic Cotton T-Shirt,Personal Care,85.29,-1.28,1.24,106.37,297,4.4,0,0.1981761774936542,2.8082557044466885,-5.632000000000001,21.08,Non-Certified
P0119,Recycled Paper Planner,Personal Care,54.87,-1.46,1.36,109.09,219,4.8,0,0.4970208085067376,2.9347441546328756,-7.008,54.220000000000006,Non-Certified
P0120,Bamboo Toothbrush,Stationery,61.26,-0.57,0.92,26.8,224,4.7,0,-1.2858208955223878,3.9745063805022074,-2.679,-34.459999999999994,Non-Certified
P0122,Biodegradable Phone Case,Household,48.22,-0.54,1.12,85.9,330,3.6,1,0.43864959254947616,6.11038691710612,-1.9440000000000002,37.68000000000001,Certified
P0123,Recycled Paper Planner,Stationery,82.11,-0.94,1.12,45.28,613,4.8,1,-0.8133833922261483,6.665709762165735,-4.512,-36.83,Certified
P0124,Compostable Trash Bags,Stationery,76.38,-1.08,1.21,65.49,55,3.5,0,-0.16628492899679342,0.5951105715441929,-3.7800000000000002,-10.89,Non-Certified
P0125,Eco-Friendly Notebook,Stationery,69.76,-0.89,0.96,88.38,853,4.5,0,0.21068114958135314,12.73712251529052,-4.005,18.61999999999999,Non-Certified
P0126,Organic Cotton T-Shirt,Electronics,27.6,-1.31,1.09,55.4,124,4.9,1,0.5018050541516245,4.121792314851748,-6.4190000000000005,27.799999999999997,Certified
P0127,Biodegradable Phone Case,Stationery,70.87,-1.37,1.41,53.58,373,4.1,0,-0.32269503546099304,3.732736095558044,-5.617,-17.290000000000006,Non-Certified
P0129,Recycled Paper Planner,Stationery,36.81,-1.07,1.27,114.21,325,4.5,1,0.677698975571316,6.952064977207922,-4.815,77.39999999999999,Certified
P0130,Solar-Powered Lantern,Household,47.22,-1.43,1.34,98.26,123,4.1,1,0.5194382251170365,1.9439018376984203,-5.8629999999999995,51.040000000000006,Certified
P0131,Eco-Friendly Notebook,Stationery,39.31,-0.7,1.49,60.15,898,4.5,0,0.34646716541978384,15.331583916519694,-3.15,20.839999999999996,Non-Certified
P0132,Recycled Paper Planner,Electronics,55.12,-1.46,0.83,96.25,270,4.0,0,0.42732467532467533,5.901690943745957,-5.84,41.13,Non-Certified
P0133,Eco-Friendly Notebook,Personal Care,80.98,-0.74,1.29,51.08,454,3.3,0,-0.5853563038371183,4.345986471920524,-2.4419999999999997,-29.900000000000006,Non-Certified
P0134,Solar-Powered Lantern,Personal Care,77.33,-0.52,1.44,48.23,167,3.8,0,-0.6033589052456978,1.4997054470738682,-1.976,-29.1,Non-Certified
P0135,Eco-Friendly Notebook,Electronics,97.67,-0.71,1.4,78.49,924,4.5,1,-0.24436233915148436,6.757448551243985,-3.195,-19.180000000000007,Certified
P0136,Biodegradable Phone Case,Electronics,61.67,-0.75,1.01,45.38,779,4.6,1,-0.35896870868223885,12.506682807084015,-3.4499999999999997,-16.29,Certified
P0137,Solar-Powered Lantern,Household,53.92,-0.66,1.02,98.9,750,3.3,0,0.45480283114256825,13.636760342119043,-2.178,44.980000000000004,Non-Certified
P0138,Organic Wool Socks,Personal Care,54.76,-1.02,1.22,47.59,337,3.2,0,-0.15066190376129426,5.04436647546971,-3.2640000000000002,-7.169999999999995,Non-Certified
P0139,Bamboo Toothbrush,Clothing,80.42,-0.83,1.24,76.34,909,3.3,0,-0.05344511396384593,9.115450337341858,-2.739,-4.079999999999998,Non-Certified
P0140,Eco-Friendly Notebook,Electronics,66.7,-1.19,1.23,56.24,766,3.6,1,-0.18598862019914653,9.336795017125583,-4.284,-10.46,Certified
P0141,Reusable Water Bottle,Clothing,87.72,-0.65,1.17,84.47,522,4.3,0,-0.038475198295252755,5.0861131572485885,-2.795,-3.25,Non-Certified
P0142,Bamboo Toothbrush,Clothing,44.6,-1.22,0.81,89.79,599,4.6,0,0.5032854438133423,16.580855893262466,-5.611999999999999,45.190000000000005,Non-Certified
P0143,Solar-Powered Lantern,Electronics,59.81,-1.32,0.86,115.0,679,3.3,1,0.47991304347826086,13.200716999179573,-4.356,55.19,Certified
P0144,Organic Wool Socks,Personal Care,20.7,-1.03,1.07,10.75,330,4.4,1,-0.9255813953488371,14.899092509819855,-4.532000000000001,-9.95,Certified
P0145,Eco-Friendly Notebook,Household,37.91,-0.87,1.08,76.44,54,3.5,0,0.5040554683411826,1.3189132155104195,-3.045,38.53,Non-Certified
P0147,Recycled Paper Planner,Personal Care,77.27,-1.24,1.05,50.63,826,4.5,0,-0.5261702547896503,10.180751477503128,-5.58,-26.639999999999993,Non-Certified
P0148,Eco-Friendly Notebook,Stationery,45.2,-1.33,1.33,19.21,714,3.7,1,-1.3529411764705883,11.877037727061014,-4.921,-25.990000000000002,Certified
P0149,Reusable Water Bottle,Stationery,73.69,-0.86,1.41,93.65,141,3.5,0,0.213134009610251,1.3570362328674177,-3.01,19.960000000000008,Non-Certified
P0151,Reusable Water Bottle,Household,25.93,-0.98,1.34,78.19,613,3.8,1,0.6683719145670802,17.642216990634946,-3.7239999999999998,52.26,Certified
P0152,Organic Wool Socks,Stationery,25.11,-0.59,1.27,19.72,302,3.9,1,-0.2733265720081136,9.470142397074918,-2.3009999999999997,-5.390000000000001,Certified
P0153,Organic Wool Socks,Household,53.33,-1.33,1.4,58.28,197,3.0,0,0.08493479752916958,2.638557767003295,-3.99,4.950000000000003,Non-Certified
P0155,Bamboo Toothbrush,Electronics,85.97,-1.21,1.33,55.91,676,4.5,1,-0.5376497943122877,5.9121865382311185,-5.445,-30.060000000000002,Certified
P0157,Eco-Friendly Notebook,Household,72.47,-0.71,1.15,90.35,880,3.4,0,0.19789706696181514,10.559091918095046,-2.4139999999999997,17.879999999999995,Non-Certified
P0158,Solar Charger,Stationery,15.25,-0.69,0.84,33.12,452,4.7,1,0.5395531400966184,35.28493364558938,-3.243,17.869999999999997,Certified
P0160,Solar-Powered Lantern,Stationery,75.56,-0.64,1.05,58.39,808,3.5,0,-0.29405720157561227,10.184274874587208,-2.24,-17.17,Non-Certified
P0161,Bamboo Toothbrush,Personal Care,84.08,-0.63,1.19,31.07,245,4.4,0,-1.7061474090762794,2.448648346112946,-2.7720000000000002,-53.01,Non-Certified
P0165,Organic Cotton T-Shirt,Stationery,66.93,-0.81,1.28,114.58,200,3.7,1,0.4158666433932623,2.3345286119826683,-2.9970000000000003,47.64999999999999,Certified
P0167,Reusable Water Bottle,Electronics,69.68,-0.76,0.82,35.2,983,4.8,1,-0.9795454545454546,17.20408277561536,-3.6479999999999997,-34.480000000000004,Certified
P0168,Biodegradable Phone Case,Household,57.63,-0.56,0.95,30.64,83,3.5,1,-0.8808746736292429,1.5160232700439282,-1.9600000000000002,-26.990000000000002,Certified
P0169,Bamboo Toothbrush,Stationery,81.04,-0.83,1.5,82.93,302,3.1,0,0.022790305076570608,2.4843698585060876,-2.573,1.8900000000000006,Non-Certified
P0171,Recycled Paper Planner,Household,88.1,-1.01,0.91,47.12,645,3.7,0,-0.8696943972835314,8.045303164485912,-3.737,-40.98,Non-Certified
P0172,Biodegradable Phone Case,Electronics,12.46,-0.92,0.98,84.25,435,4.3,0,0.8521068249258159,35.62420152651751,-3.956,71.78999999999999,Non-Certified
P0173,Solar Charger,Electronics,61.95,-0.67,1.06,82.87,896,3.4,1,0.2524435863400507,13.644600788828482,-2.278,20.92,Certified
P0174,Eco-Friendly Notebook,Clothing,82.74,-1.45,1.23,60.98,696,3.4,1,-0.35683830764184976,6.838937134839079,-4.93,-21.759999999999998,Certified
P0175,Organic Cotton T-Shirt,Personal Care,8.87,-1.37,1.27,105.56,282,4.8,1,0.9159719590754073,25.03351117187015,-6.5760000000000005,96.69,Certified
P0177,Solar-Powered Lantern,Electronics,33.19,-0.79,1.29,46.77,210,4.0,1,0.29035706649561693,4.904811620199416,-3.16,13.580000000000005,Certified
P0178,Reusable Water Bottle,Clothing,73.6,-1.05,1.15,70.67,544,3.7,0,-0.04146030847601518,6.427221172022685,-3.8850000000000002,-2.9299999999999926,Non-Certified
P0179,Solar Charger,Electronics,98.25,-0.97,1.2,105.67,146,3.2,0,0.07021860509132205,1.238337574215437,-3.104,7.420000000000002,Non-Certified
P0183,Organic Cotton T-Shirt,Personal Care,45.19,-1.38,1.26,90.92,545,3.8,1,0.5029696436427629,9.571579609198551,-5.244,45.730000000000004,Certified
P0184,Solar Charger,Electronics,30.88,-1.49,1.24,113.2,607,3.1,1,0.727208480565371,15.852206251044628,-4.619,82.32000000000001,Certified
P0185,Organic Wool Socks,Stationery,67.21,-0.92,1.12,87.39,536,3.4,0,0.2309188694358623,7.120539035432652,-3.128,20.180000000000007,Non-Certified
P0186,Bamboo Toothbrush,Stationery,93.23,-1.09,0.95,102.63,252,4.0,0,0.0915911526844002,2.8452553673145644,-4.36,9.399999999999991,Non-Certified
P0187,Bamboo Toothbrush,Electronics,36.21,-0.71,1.24,53.45,356,4.2,0,0.32254443405051453,7.9286598783084345,-2.9819999999999998,17.240000000000002,Non-Certified
P0188,Biodegradable Phone Case,Household,86.15,-0.52,1.3,49.27,705,3.1,1,-0.7485285163385428,6.294923880530381,-1.612,-36.88,Certified
P0189,Recycled Paper Planner,Stationery,44.66,-0.96,1.48,77.51,423,3.2,0,0.4238162817700943,6.3997046755667455,-3.072,32.85000000000001,Non-Certified
P0192,Compostable Trash Bags,Stationery,29.66,-1.39,1.05,47.4,810,4.9,1,0.3742616033755274,26.009055004334844,-6.811,17.74,Certified
P0193,Organic Cotton T-Shirt,Electronics,32.71,-0.98,0.9,74.86,902,4.0,0,0.5630510285866952,30.639627704745404,-3.92,42.15,Non-Certified
P0195,Eco-Friendly Notebook,Clothing,90.21,-0.79,0.92,40.1,327,3.0,0,-1.2496259351620946,3.9400818380301037,-2.37,-50.10999999999999,Non-Certified
P0196,Bamboo Toothbrush,Clothing,41.26,-0.75,1.13,27.71,816,4.8,0,-0.48899314326957766,17.501790930812163,-3.5999999999999996,-13.549999999999997,Non-Certified
P0197,Biodegradable Phone Case,Electronics,40.11,-0.99,0.95,59.11,453,3.8,0,0.32143461343258334,11.888359642561904,-3.762,19.0,Non-Certified
P0198,Organic Wool Socks,Stationery,30.74,-0.88,1.36,91.16,483,3.3,1,0.6627906976744187,11.553255004018522,-2.904,60.42,Certified
P0199,Reusable Water Bottle,Electronics,69.23,-1.17,1.04,100.07,339,3.3,0,0.3081842710102927,4.70838564872943,-3.8609999999999998,30.83999999999999,Non-Certified
P0200,Recycled Paper Planner,Electronics,33.64,-1.39,1.15,32.2,833,4.3,0,-0.044720496894409864,21.532337279636042,-5.976999999999999,-1.4399999999999977,Non-Certified
P0201,Organic Cotton T-Shirt,Stationery,60.61,-0.88,1.09,118.14,738,3.1,1,0.48696461824953446,11.170833528848146,-2.728,57.53,Certified
P0202,Biodegradable Phone Case,Household,77.84,-1.43,1.22,103.79,955,4.3,0,0.2500240870989498,10.05635772412515,-6.148999999999999,25.950000000000003,Non-Certified
P0203,Organic Wool Socks,Household,92.11,-1.08,0.83,101.95,946,3.4,0,0.09651790093182935,12.373890306639654,-3.672,9.840000000000003,Non-Certified
